secteur, capacite_mbps
T70730A, 64.39306
T70730B, 64.39306
T70730C, 64.39306
T78259A, 198.90300
T78259B, 198.90300
T78259C, 198.90300
T70745A, 64.39306
T70745B, 64.39306
T70745C, 64.39306
T70747A, 42.92870
T70747B, 42.92870
T70747C, 42.92870
T78264A, 42.92870
T78264B, 42.92870
T78264C, 42.92870
T78270A, 213.21256
T78270B, 213.21256
T78270C, 213.21256
T70738A, 213.21256
T70738B, 213.21256
T70738C, 213.21256
T36870A, 42.92870
T36870B, 42.92870
T78256A, 191.74821
T78256B, 191.74821
T78256C, 191.74821
T78274A, 64.39306
T78274B, 64.39306
T78274C, 64.39306
T77125A, 213.21256
T77125B, 213.21256
T77125C, 213.21256
T78280A, 42.92870
T78280B, 42.92870
T78280C, 42.92870
T78262A, 85.85741
T78262B, 85.85741
T78262C, 85.85741
T76995A, 42.92870
T76995B, 42.92870
T76995C, 42.92870
T70737A, 213.21256
T70737B, 213.21256
T70737C, 213.21256
T70724A, 85.85741
T70724B, 85.85741
T70724C, 85.85741
T70721A, 14.30957
T70721B, 14.30957
T70721C, 14.30957
T78269A, 213.21256
T78269B, 213.21256
T78269C, 213.21256
T78271A, 85.85741
T78271B, 85.85741
T78271C, 85.85741
T70744A, 213.21256
T70744B, 213.21256
T70744C, 213.21256
T70735A, 213.21256
T70735B, 213.21256
T70735C, 213.21256
T78258A, 64.39306
T78258B, 64.39306
T78258C, 64.39306
T70736A, 14.30957
T70736B, 14.30957
T70736C, 14.30957
T70722A, 213.21256
T70722B, 213.21256
T70722C, 213.21256
T70725A, 85.85741
T70725B, 85.85741
T70725C, 85.85741
T78279A, 14.30957
T78279B, 14.30957
T78279C, 14.30957
T70731A, 85.85741
T70731B, 85.85741
T70731C, 85.85741
T70743A, 85.85741
T70743B, 85.85741
T70743C, 85.85741
T78273A, 213.21256
T78273B, 213.21256
T78273C, 213.21256
