secteur,strategie
T36870A,"[('pa', '1800'), ('4g', '700')]"
T36870B,[]
T70721A,[]
T70721B,[]
T70721C,[]
T70722A,[]
T70722B,[]
T70722C,[]
T70724A,[]
T70724B,[]
T70724C,[]
T70725A,"[('pa', '1800'), ('pa', '2100'), ('pa', '2600'), ('5g', '700'), ('4g', '700')]"
T70725B,"[('pa', '1800'), ('pa', '2100')]"
T70725C,[]
T70730A,"[('5g', '2600'), ('4g', '2600')]"
T70730B,"[('4g', '2600')]"
T70730C,[]
T70731A,[]
T70731B,[]
T70731C,[]
T70735A,[]
T70735B,[]
T70735C,[]
T70736A,"[('5g', '1800')]"
T70736B,"[('5g', '3500')]"
T70736C,"[('5g', '3500')]"
T70737A,[]
T70737B,[]
T70737C,[]
T70738A,[]
T70738B,[]
T70738C,[]
T70743A,[]
T70743B,[]
T70743C,[]
T70744A,['site']
T70744B,"[('pa', '1800'), ('pa', '2100'), ('pa', '2600')]"
T70744C,[]
T70745A,"[('pa', '1800'), ('pa', '2100'), ('5g', '2600'), ('pa', '800')]"
T70745B,"[('5g', '3500')]"
T70745C,[]
T70747A,"[('4g', '2100')]"
T70747B,"[('4g', '2100')]"
T70747C,"[('pa', '1800'), ('5g', '2100'), ('4g', '2100')]"
T76995A,[]
T76995B,[]
T76995C,[]
T77125A,[]
T77125B,[]
T77125C,[]
T78256A,[]
T78256B,[]
T78256C,[]
T78258A,"[('5g', '3500'), ('pa', '1800')]"
T78258B,"[('5g', '3500'), ('pa', '1800'), ('pa', '2100'), ('5g', '2600'), ('4g', '2600')]"
T78258C,"[('5g', '3500')]"
T78259A,[]
T78259B,[]
T78259C,['site']
T78262A,"[('5g', '3500'), ('pa', '1800'), ('pa', '2100'), ('pa', '2600'), ('4g', '700')]"
T78262B,[]
T78262C,"[('pa', '1800')]"
T78264A,[]
T78264B,[]
T78264C,[]
T78269A,['site']
T78269B,[]
T78269C,[]
T78270A,[]
T78270B,[]
T78270C,[]
T78271A,"[('5g', '3500')]"
T78271B,"[('5g', '3500')]"
T78271C,['site']
T78273A,[]
T78273B,[]
T78273C,['site']
T78274A,['site']
T78274B,"[('pa', '1800')]"
T78274C,"[('5g', '3500'), ('pa', '1800'), ('pa', '2100'), ('5g', '2600'), ('pa', '800')]"
T78279A,"[('pa', '800')]"
T78279B,[]
T78279C,"[('pa', '800')]"
T78280A,"[('pa', '1800')]"
T78280B,[]
T78280C,"[('5g', '3500')]"
