site,strategie
T36870,"[('pa', '1800'), ('4g', '700')]"
T70721,[]
T70722,[]
T70724,[]
T70725,"[('pa', '1800'), ('pa', '2100'), ('pa', '2600'), ('5g', '700'), ('4g', '700')]"
T70730,"[('5g', '2600'), ('4g', '2600')]"
T70731,[]
T70735,[]
T70736,"[('5g', '3500')]"
T70737,[]
T70738,[]
T70743,[]
T70744,"[('pa', '1800'), ('pa', '2100'), ('pa', '2600')]"
T70745,"[('5g', '3500')]"
T70747,"[('pa', '1800'), ('5g', '2100'), ('4g', '2100')]"
T76995,[]
T77125,[]
T78256,[]
T78258,"[('5g', '3500'), ('pa', '1800'), ('pa', '2100'), ('5g', '2600'), ('4g', '2600')]"
T78259,[]
T78262,"[('5g', '3500'), ('pa', '1800'), ('pa', '2100'), ('pa', '2600'), ('4g', '700')]"
T78264,[]
T78269,[]
T78270,[]
T78271,"[('5g', '3500')]"
T78273,[]
T78274,"[('5g', '3500'), ('pa', '1800'), ('pa', '2100'), ('5g', '2600'), ('pa', '800')]"
T78279,"[('pa', '800')]"
T78280,"[('5g', '3500')]"
